id,item_ja,unit_ja,category_ja,image,description_ja,item_en,unit_en,category_en,description_en,infantsMale,infantsFemale,child1Male,child1Female,child2Male,child2Female,adultMale,adultFemale,agedMale,agedFemale,pet,url_yahoo,url_rakuten,url_amazon
11,無洗米,kg,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-11.png,災害時に無洗米があると水の節約になります。おかゆは乳幼児や高齢者の食事としても使えます。,Pre-washed rice,kg,Food,"If pre-washed rice is available in times of disaster, it helps to save water. Porridge is useful as meals for babies/infants and elderly people.",0,0,0.3,0.3,0.375,0.375,0.375,0.375,0.375,0.375,,https://bit.ly/3unFi0u,https://bit.ly/3bs8KK1,https://amzn.to/3aEBTm7
12,飲み物,本,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-12.png,水以外に、自分が普段好んで飲んでいる飲料があれば用意しておきましょう。災害時であっても、普段通りに自分の好きなものを飲んだり食べたりできる環境をつくっておくことが大切です。,Drinks,bottles,Food,"If there are favorite drinks other than water you routinely consume, it is recommended to keep them in stock. It is important to have in place an environment where you can drink and eat what you like as usual even at the time of disaster.",0,0,0.8,0.8,1,1,1,1,1,1,,http://bit.ly/3bw0ubZ,https://bit.ly/2ZGHUbE,http://amzn.to/3dCp2Tc
13,お菓子,パック,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-13.png,お菓子は栄養価を考えて選ぶのがベター。米菓子は栄養素が豊富。ようかんは高齢者も食べやすく、気軽に口に入れられる一口サイズのものがおすすめ。乾燥野菜や果物のスナックチップスでビタミン補給。いずれも、保存の効く個別包装のものがおすすめです。避難生活が長引くときには気分転換にもつながります。,Confectionery,packs,Food,"It is better to choose confectionery in consideration of nutritional value. Rice biscuits are rich in nutritional elements. Yokan (jellied azuki bean paste) is easy for elderly people to eat, and bite-size pieces readily put into the mouth are recommended. Vitamins can be supplemented with snack food chips of dried vegetables and fruit. Recommendable are individually packed items that can be preserved long. They also help for a change when refugee life is prolonged.",,,,,,,,,,,,http://bit.ly/2NQAyj4,https://bit.ly/3se4nc8,http://amzn.to/2P4BTU8
14,果物の缶詰,缶,食品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-14.png,果物でビタミンや水分を摂取。缶詰でない場合は、包丁を使わずに済むミカンやバナナ、日持ちのするリンゴや梨、ブドウやスイカもおすすめです。,Canned food (fruit),cans,Food,"You can take in vitamins and water from fruit. If not canned, it is recommendable to eat ""mikan"" mandarin oranges and bananas, which do not require kitchen knives, and apples, pears, grapes and watermelons, which stay good for a long time.",,,,,,,,,,,,http://bit.ly/3siDfc7,https://bit.ly/3ulh3Qu,http://amzn.to/3bx8E3H
15,除菌ウェットティッシュ,枚,感染対策／断水（衛生対策）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-15.png,災害時には水が不足し、手を洗ったり拭き掃除をしたりすることが気軽にできなくなります。除菌タイプのウェットティッシュがあれば手指やテーブル、キッチンやトイレ回りなどの汚れを拭きとるのに使えます。,Antibacterial wet tissue,sheets,"Infection control, water outage (sanitary measures)","You run short of water supply in times of disaster, making it impossible to casually wash your hands or wipe something clean. If you have antibacterial wet tissue in place, you can use it to clean fingers, tables, kitchens, and washrooms.",10,10,10,10,10,10,10,10,10,10,,https://bit.ly/3aJAiLE,https://bit.ly/3kbxSIY,https://amzn.to/2ZGKTRg
16,アルコールスプレー,本,感染対策／断水（衛生対策）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-16.png,水道が止まっている時の手洗いや食器を拭くのに活用します。アルコールには消臭効果もあるため、ニオイが気になるところに吹きかけるといった使い方もできます。さらに、現在のコロナ禍での感染症対策としても効果を発揮します。,Alcohol sanitizer spray,bottle,"Infection control, water outage (sanitary measures)","Used for cleaning hands or tableware during water outage. As alcohol has deodorizing effects, you can use it for spray on bad-smelling places, for example. Moreover, the product is effective as well for use as disinfectant spray amid the current COVID-19 epidemic.",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,https://bit.ly/3ke9ZAw,https://bit.ly/3pKeaVT,https://amzn.to/3ulqoYz
17,マスク,枚,感染対策,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-17.png,感染症対策として飛沫感染を防ぐほかに、周囲への飛沫の拡散を防ぐためにも、コロナ禍の今、エチケットとして必要です。また、鼻づまりで口呼吸になっている場合にも、口の乾燥を防いでくれるため、冬場の乾燥対策としても有効です。,Face mask,masks,Infection control,"Besides preventing droplet infection as a means of combating infectious diseases, masks are necessary as etiquette to fend off the spread of droplets to people nearby in today's age of the COVID-19 epidemic. Masks are also effective as a means of protection from dryness in winter as they help to prevent dry mouth when forced into oral breathing by nasal congestion.",0,0,1,1,1,1,1,1,1,1,,https://bit.ly/3kfA5TM,https://bit.ly/3pH5H5T,https://amzn.to/3sbuEb2
18,口内洗浄液,ml,断水（衛生対策）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-18.png,水道が使えず歯磨きができない場合に備えて、口内洗浄液を準備しておきましょう。お口の健康は体の健康にも影響します。水不足で口の中を清潔に保つことができないと、口の中の菌が体に悪影響を及ぼす可能性があります。特に肺炎になりやすい高齢者の方は注意が必要です。,Mouthwash,ml,Water outage (sanitary measures),"Keep mouthwashes in stock in preparation for the inability to brush teeth due to the unavailability of tap water. Health of the mouth affects that of the body. If you fail to keep the mouth clean inside, intraoral bacteria may adversely affect the body. In  particular, elderly people prone to pneumonia require special attention.",0,0,90,90,90,90,90,90,90,90,,https://bit.ly/3dETPyS,https://bit.ly/3ugkEPT,https://amzn.to/3aIB1Ng
19,救急箱,箱,医薬品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-19.png,災害時に備えて応急手当用品があると安心です。ばんそうこうやガーゼ、包帯、ピンセット、綿棒、爪切り、体温計、マスクなどを救急箱に備えておきましょう。,First-aid kit,kit,Medication,"There is a possibility to get many kinds of injury. Make box for first-aid-kid and puck band-aid, gauze, bandage,tweezers, cotton swab, nail clippers, thermometer, and mask.",,,,,,,,,,,,https://bit.ly/2NuBw4N,https://bit.ly/2Nm0iEk,https://amzn.to/3qKpmTE
20,常備薬,箱,医薬品,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-20.png,軽い症状のときや、医師にかかるまでの応急的な処置を行うときに使えます。薬は災害時に手に入りにくくなるので、鎮痛薬、胃腸薬、風邪薬など、必要なものを揃えておきましょう。,Household medicine,box,Medication,"Household medicine can be readily used when symptoms are mild or when applying first aid before consulting a doctor. As it becomes hard to get medicine at the time of disaster, it is recommended to keep in stock such drugs as painkillers, gastrointestinal medicine, and cold tablets.",,,,,,,,,,,,,,
21,カセットコンロ,台,ガス停止（調理）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-21.png,電気やガスが止まってしまったときでも、カセットコンロがあれば安心です。停電の可能性も高いので、IHヒーターよりも役立ちます。お湯を沸かして温かい汁物などを作るためには、保温効果の高い鍋を用意することも重要です。,Portable gas stove,stove,Gas outage (cooking),"Even when electricity and gas supply is suspended, you will feel safe if you have a portable gas stove in place. It is more useful than an induction cooker due to the high possibility of a power failure. It is also important to have a pan ready for use, which is highly effective in keeping food warm, in order to boil water and cook something hot such as soup.",,,,,,,,,,,,https://bit.ly/3dzDI5H,https://bit.ly/3kbNKLu,https://amzn.to/3pFlUIF
22,カセットボンベ,ガスコンロ1台につき1日4/3本,ガス停止（調理）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-22.png,ボンベは多めに用意しましょう。使用期限は6～7年なので、少し多めに買いそろえ、使いながら買い足す、日常備蓄（ローリングストック）の一環として備えておきましょう。,Gas canister,4/3 per day per gas stove,Gas outage (cooking),"Let's keep more canisters in stock than usual. As a canister is good for six to seven years, it is recommended to buy more canisters than you need and purchase an additional one each time you use up an existing one as part of everyday stockpiling (known as a rolling stock method).",0,0,1,1,1,1,1,1,1,1,,https://bit.ly/3kdzthr,https://bit.ly/3dBMy2Y,https://amzn.to/37zFgsI
23,ラップ,本,断水（節水・衛生対策）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-23.png,断水時、食器に被せれば汚れを防ぎ、洗わずに済みます。また、三角巾や包帯代わりにも使え、体に巻けば保温効果も期待できます。,Plastic wrap,piece,"Water outage (saving water, sanitary measures)","If you cover tableware with plastic wrap during a meal at the time of water outage, it prevents the tableware from getting dirty and you don't have to wash used plates, etc. Plastic wrap can also be used as an alternative to a sling or bandage and, if wrapped around the body, you can expect the effect of heat retention.",,,,,,,,,,,,https://bit.ly/3bw8MR5,https://bit.ly/3aHM1KJ,https://amzn.to/3k8i49W
24,ポリ袋,箱,断水（節水・衛生対策）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-24.png,手に被せると応急手当時の感染防止に役立ちます。断水時には食材を入れて調理すれば衛生的です。ジッパー付きの袋はニオイの防止になるので、トイレごみなどは黒いごみ袋に入れジッパー付きの袋に入れましょう。防水なので、財布・貴金属の保管にも便利です。,Plastic bag,box,"Water outage (saving water, sanitary measures)","If you put a plastic bag over your hand, it is helpful to prevent infections. It is hygienic to cook ingredients inside a plastic bag during water outage. Please put toilet filth, etc. into a black garbage bag and cover it in a resealable bag, which fends off bad odor. Being waterproof, such bags are also convenient to keep a wallet or precious metals.",,,,,,,,,,,,https://bit.ly/3aHObu0,https://bit.ly/3uwJ6g2,https://amzn.to/3si2jjq
25,ビニール手袋,箱,断水（節水・衛生対策）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-25.png,手がしっかり洗えない状態で調理をしなければならない時に、ラテックス製などの使い捨てができる手袋があると便利です。トイレ掃除など、不衛生な物を扱う時にも役立ちます。,Plastic gloves,box,"Water outage (saving water, sanitary measures)","When you have to cook while you cannot wash your hands sufficiently, it is convenient to have disposable gloves such as latex ones ready for use. They are useful to handle unsanitary goods such as when cleaning the toilet.",,,,,,,,,,,,https://bit.ly/2NRCHv3,https://bit.ly/2ZARiO2,https://amzn.to/3kauUUY
26,アルミホイル,本,断水（節水）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-26.png,断水時、調理器具にアルミホイルを敷くと汚さずに調理できます。また、お皿の形にすれば、使い捨ての食器としても使えます。ニオイを通さないので、防臭にも役立ちます。,Aluminum foil,piece,Water outage (saving water),"During water outage, spread aluminum foil on kitchen utensils and you can cook without making them dirty. Also, aluminum foil shaped into a plate can be used as disposable tableware. Foil is useful for deodorization as well because it does not allow any smell to permeate.",,,,,,,,,,,,https://bit.ly/2NVaQd9,https://bit.ly/3pFrlr3,https://amzn.to/3skyiiS
27,トイレットペーパー,ロール,トイレ,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-27.png,断水が起きなくても、トイレットペーパーがなければトイレが使えません。切らすと不便で、トイレへの不安がますます強くなってしまいます。ティッシュペーパーの代わりとしても使えます。,Toilet paper,rolls,Restroom,"Even if water outage does not occur, you cannot use the restroom without toilet paper. It is inconvenient if it runs out, further enhancing your worries over toileting problems. You can substitute toilet rolls for tissue paper as well.",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,https://bit.ly/2P4iGlu,https://bit.ly/3shOdP0,https://amzn.to/3ughvj3
28,ティッシュペーパー,箱,断水（衛生対策）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-28.png,水を使えないと拭き取る作業も多くなります。汚れたお皿をティッシュで拭けば、水の節約にもなります。ウェットティッシュと同様に必需品です。,Tissue paper,box,Water outage (sanitary measures),"If water is not available, you will face many occasions of work to wipe off. Wiping used plates clean with tissue paper helps to save water. Tissue is an essential item along with wet tissue.",0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,,https://bit.ly/3pKxAKc,https://bit.ly/3sjErfA,https://amzn.to/3aJBQ8J
29,懐中電灯,灯,停電（照明）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-29.png,夜間に災害が発生して停電した場合、家具やガラスが散乱した状態で部屋を歩くことは非常に危険です。誤ってけがをしてしまえば、自宅で生活ができなくなるおそれも。部屋の照明としては、ランタンも効果的です。倒れても火災を招くことがないので理想的です。,Blackout (lighting),piece,Blackout (lighting),"It is extremely dangerous to walk inside rooms scattered with furniture and shards of broken glass after the breakout accompanied by disaster during the nighttime. If you accidentally get injured, you may not be able to live at home. As room lighting, lanterns are effective. It is ideal to have lanterns that don't cause a fire after falling down.",,,,,,,,,,,,https://bit.ly/3buHFFZ,https://bit.ly/3sjEw2S,https://amzn.to/37ANsZJ
30,乾電池,単1～単4までのセット,停電（電源）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-30.png,懐中電灯などを用意しても電池がなければ使うことができません。また、電池は突然切れるおそれもあります。災害時は電池の使用頻度も高まるので、少し多めに買いそろえ、使いながら買い足す、日常備蓄（ローリングストック）の一環として備えておきましょう。,Dry battery,"Sets of D, C, AA and AAA size batteries",Blackout (power source),"You cannot use flashlights, etc. kept in stock if dry batteries are not available. Batteries may die suddenly. At the time of disaster, you are required to use batteries more often than usual. It is recommended to buy more batteries than you need usually, purchasing extra ones while using them as part of everyday stockpiling (known as a rolling stock method).",0,0,1,1,1,1,1,1,1,1,,https://bit.ly/2ZG4ocH,https://bit.ly/2ZDqPzh,https://amzn.to/3sdls6f
31,点火棒,本,停電・ガス停止（防寒）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-31.png,ろうそくや固形燃料に火をつける際など、火が必要な場合に重宝します。,Firing rod,piece,Blackout/gas outage (cold protection),A firing rod is invaluable when fire is required (e.g. lighting a candle and setting fire to solid fuel).,,,,,,,,,,,,https://bit.ly/3aMfGCN,https://bit.ly/3bxpH5K,https://amzn.to/3shYV8s
32,使い捨てカイロ,個,停電・ガス停止（防寒）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-32.png,寒いときの定番「カイロ」。冬の外出時、かばんの中に入れておくと、エレベーターに閉じ込められたときなどでも体を温めて生命維持につながります。カイロでレトルト食材を挟み、アルミブランケットやタオルで包めば、レトルト食品を温めることもできます。,Disposable body warmer,pieces,Water outage (sanitary measures),"Disposable hot pack is standard item in cold weather. If you keep it in your bag when you go out in winter, you can keep your body warm and maintain your life even when you are trapped in an elevator. You can also heat up pre-packeaged foods by clipping them with the disposable body warmer and wrapping it in an aluminium blanket or towel.",0,0,2,2,2,2,2,2,2,2,,https://bit.ly/3unPOor,https://bit.ly/3kf2s4C,https://amzn.to/3bsmmov
33,使い捨てコンタクトレンズ,1人1か月分,断水（衛生対策）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-33.png,災害時にはきれいな水が手に入らず、消毒ができない場合があります。そんな時、使い捨てのコンタクトレンズがあると便利です。予備として眼鏡の用意があるとなおよいでしょう。,Disposable contact lens,Equivalent of 1-month use,Water outage (sanitary measures),"In times of disaster, no clean water is available sometimes, making disinfection impossible. On such an occasion, disposable contact lenses are useful. It will be even better to have a pair of glasses ready for use as a backup.",0,0,1,1,1,1,1,1,1,1,,https://bit.ly/3sbpVGy,https://bit.ly/37xjSUT,https://amzn.to/3k9FX0T
34,携帯電話 充電器,携帯台数に合わせて用意,停電（電源）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-34.png,携帯電話の性能が上がり継続して利用できる時間も長くなっていますが、それでも手元に携帯電話の充電器があると安心です。電池式やソーラー式など停電しても使えるものを用意しておきましょう。,Backup battery for cell-phone,Stockpile extra batteries matching the number of cell-phones,Blackout (power source),The performance of cell-phones has grown better and the time of continued use has become long. But the availability of a battery charger for cell-phones on hand still makes you feel at ease. It is recommended to keep in stock a battery-operated charger or solar-power type that can be used during power outage.,0,0,1,1,1,1,1,1,1,1,,http://bit.ly/2NyMZjR,http://bit.ly/3umczsN,https://amzn.to/3qQjWqk
35,布製ガムテープ,巻,工具類,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-35.png,傷口に清潔な布を当てた上でガムテープを巻けば止血ができます。また骨折時の添え木の固定にも。壁などに貼り伝言を書けば、家族などへの連絡メモとしても活用できます。,Tools,pieces,Tools,"You can stop bleeding from a wound by placing a piece of clean cloth on the wound and covering it with gummed cloth tape. In the event of an arm or leg being broken, such a tape is also useful to immobilize a splint applied to the injured part. A slip of tape pasted on the wall, etc. can be used as a memo pad for notice to family members and other parties concerned.",,,,,,,,,,,,https://bit.ly/3bxGg1s,https://bit.ly/3vbLl8X,https://amzn.to/3bvl2RQ
36,軍手,組,工具類,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-36.png,防災用には、耐熱性、防刃性に優れた商品が適しており、がれきを取り扱う時や火を扱う調理時などに役立ちます。革手袋も有効です。,Work gloves,pair,Tools,"For anti-disaster use, gloves highly resistant to heat and blades are appropriate. They are useful when removing debris or cooking with the use of fire. Leather gloves are also effective.",0,0,1,1,1,1,1,1,1,1,,https://bit.ly/37FzdCJ,https://bit.ly/37BXlpW,https://amzn.to/2MhjfHE
37,新聞紙,適宜,トイレ／停電・ガス停止（防寒）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-37.png,新聞紙には保温効果があるため、体に巻いて温めることが可能です。水分を良く吸い、防臭効果もあるため、断水時のトイレ処理にも活用できます。,Newspaper,As needed,"Restroom, blackout, gas outage (cold protection)","As newspaper sheets have the effect of heat retention, it is possible to warm the body by wrapping them around it. Having the effects of absorbing water and preventing bad smell, newspaper can also be used to dispose of excrement during water outage.",0,0,1,1,1,1,1,1,1,1,,https://bit.ly/3qRGNC4,https://bit.ly/2NMscJt,https://amzn.to/2ZKftJH
38,手回し充電式などのラジオ,台,停電（情報収集）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-38.png,停電時にはテレビが使えず、ラジオが貴重な情報源になります。ポケットラジオならコンパクトなのでポケットやかばんに入れて持ち運べるほか、枕元に置いてもじゃまになりません。省電力で電池の持ち時間も長いので災害時にも安心です。,"Radio (hand-cranked type, battery-powered, etc.)",unit,Blackout (info collection),"In case of power outage, you cannot use a TV, but a radio becomes a precious source of information. A pocket radio is so compact as to be carried in the pocket or in a bag, and does not disturb your sleep when placed at your bedside. As it saves power and batteries last long, a radio assures you of peace of mind at the time of disaster.",,,,,,,,,,,,https://bit.ly/3aMfVxH,https://bit.ly/3qJKTvU,https://amzn.to/2ZBAxCn
39,簡易トイレ,回分,トイレ,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-39.png,断水するとトイレは流せません。水が使えたとしても、集合住宅で配管が破損していた場合、汚水が逆流し下階のトイレからあふれる可能性もあります。トイレを我慢するために、食事や水を飲む量を減らすと、健康状態の悪化にもつながるので、家庭の便器に設置して固めて処理できる簡易トイレを用意しましょう。使用済の便袋は区市町村のゴミ収集方法に従って処理しましょう。,Portable toilet,time use,Restroom,"Once water supply is suspended, you cannot flush the toilet. Even if tap water is available, drainage piping may have been damaged, raising the possibility of sewage flowing back and overflowing in the washroom downstairs in the case of collective housing. If you reduce dietary and water intake to hold it, your health condition will worsen. So, keep in stock a portable toilet that can be installed on the lavatory seat for disposal of excrement in solid form. Follow municipal rules of garbage collection for disposal of used bags containing filthy matter.",0,0,5,5,5,5,5,5,5,5,,https://bit.ly/3qH8sW2,https://bit.ly/2NxfG0p,https://amzn.to/3bsvklQ
40,マルチツール,個,工具類,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-40.png,調理用ナイフとしての活用ができるだけでなく、プライヤー付きであれば缶詰の直火調理の際につかむツールとしても使えます。,Multitool,piece,Tools,"Multi tools knives can not only be utilized as a cooking knife, but if it comes with pliers, it can also be used as a grabbing tool when cooking canned food over an open flame.",,,,,,,,,,,,https://bit.ly/3aONPC1,https://bit.ly/3dAooWp,https://amzn.to/3sep3Rq
41,給水袋,袋,断水（水の運搬）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-41.png,水道が復旧しない状況で、給水車に水をもらいに行くときに活用します。,Water supply bag,bags,Water outage (water transport),"When water supply has yet to be restored, this type of bag is used when you go get water from water trucks.",1,1,1,1,1,1,1,1,1,1,,https://bit.ly/37GX8BI,https://bit.ly/3slwaYv,https://amzn.to/2NsdJm1
42,ポータブルストーブ,台,停電・ガス停止（防寒）,https://code4fukui.github.io/tokyobichikunavi/src/assets/images/tool/result/stockpile/img-42.png,電気・ガスが止まると暖房器具が使えなくなるため、冬に災害が起こった時の防災グッズとして、持ち運び可能なポータブルストーブが便利です。灯油やカセットボンベが燃料のものは、使用の際に換気が必要なので注意しましょう。,Portable stove,unit,"Blackout, gas outage (cold protection)","As heating appliances cannot be used when power and gas supply is suspended, it is convenient to have a portable stove among emergency supplies at the time of disaster in winter. Please exercise caution when using stoves fueled by heating oil or gas canister because they need air ventilation during use.",,,,,,,,,,,,https://bit.ly/3dDS8lm,https://bit.ly/3uiKiDw,https://amzn.to/3shZ2ko
